name	Gene	Blood_cancer_activity	Blood_healthy_activity	Breast_cancer_activity	Breast_healthy_activity	Liver_cancer_activity	Liver_healthy_activity	Pancreas_cancer_activity	Pancreas_healthy_activity
Enhancer_chr1_20958948_20960948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20959448_20961448	PINK1	on	on	on	on	off	on	on	on
Enhancer_chr1_20959948_20961948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20960448_20962448	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20960948_20962948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20961448_20963448	PINK1	off	off	on	on	on	on	off	off
Enhancer_chr1_20984448_20986448	PINK1	off	off	on	off	off	off	on	off
Enhancer_chr1_20984948_20986948	PINK1	on	on	on	on	off	on	on	off
Enhancer_chr1_20985448_20987448	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20985948_20987948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20986448_20988448	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20986948_20988948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20987448_20989448	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20987948_20989948	PINK1	on	on	on	on	on	on	on	on
Enhancer_chr1_20988448_20990448	PINK1	on	off	on	on	on	on	on	on
Enhancer_chr1_20988948_20990948	PINK1	on	on	on	off	on	off	on	off
Enhancer_chr1_21003948_21005948	PINK1	off	on	off	off	off	off	off	off
Enhancer_chr1_21004448_21006448	PINK1	off	on	off	off	off	off	off	off
Enhancer_chr1_21004948_21006948	PINK1	off	on	off	off	off	off	off	off
Enhancer_chr1_21008448_21010448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21008948_21010948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21009448_21011448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21009948_21011948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21010448_21012448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21010948_21012948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21011448_21013448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21011948_21013948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21012448_21014448	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_21012948_21014948	PINK1	off	off	off	off	off	on	off	off
Enhancer_chr1_89124827_89126827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89125327_89127327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89125827_89127827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89126327_89128327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89146327_89148327	PKN2	on	off	off	off	off	off	off	off
Enhancer_chr1_89146827_89148827	PKN2	on	on	on	on	off	on	on	on
Enhancer_chr1_89147327_89149327	PKN2	on	on	on	on	off	on	on	on
Enhancer_chr1_89147827_89149827	PKN2	on	on	on	on	off	on	on	on
Enhancer_chr1_89148327_89150327	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89148827_89150827	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89149327_89151327	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89149827_89151827	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89150327_89152327	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89150827_89152827	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89151327_89153327	PKN2	on	on	on	on	on	on	on	on
Enhancer_chr1_89151827_89153827	PKN2	on	on	off	on	off	off	on	off
Enhancer_chr1_89152327_89154327	PKN2	off	on	off	on	off	off	on	off
Enhancer_chr1_89152827_89154827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89164827_89166827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89165327_89167327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89165827_89167827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89166327_89168327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89166827_89168827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89167327_89169327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89167827_89169827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89194827_89196827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89195327_89197327	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr1_89195827_89197827	PKN2	off	on	off	off	off	off	off	off
Enhancer_chr10_118499085_118501085	HSP12A2A	off	off	on	off	off	on	off	off
Enhancer_chr10_118499585_118501585	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118500085_118502085	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118500585_118502585	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118501085_118503085	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118501585_118503585	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118502085_118504085	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118502585_118504585	HSP12A2A	off	off	on	off	off	on	on	on
Enhancer_chr10_118503085_118505085	HSP12A2A	off	off	on	off	off	off	off	off
Enhancer_chr10_14877159_14879159	HSPA14	on	on	on	on	on	on	off	off
Enhancer_chr10_14877659_14879659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14878159_14880159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14878659_14880659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14879159_14881159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14879659_14881659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14880159_14882159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14880659_14882659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14881159_14883159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14881659_14883659	HSPA14	on	on	on	on	on	on	on	off
Enhancer_chr10_14912659_14914659	HSPA14	off	on	off	off	off	off	off	off
Enhancer_chr10_14917159_14919159	HSPA14	off	on	on	on	off	off	off	off
Enhancer_chr10_14917659_14919659	HSPA14	on	on	on	on	off	on	on	off
Enhancer_chr10_14918159_14920159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14918659_14920659	HSPA14	on	off	on	on	on	on	on	on
Enhancer_chr10_14919159_14921159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14919659_14921659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14920159_14922159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14920659_14922659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14921159_14923159	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14921659_14923659	HSPA14	on	on	on	on	on	on	on	on
Enhancer_chr10_14922159_14924159	HSPA14	on	off	on	on	on	off	on	off
Enhancer_chr10_14922659_14924659	HSPA14	on	off	on	on	off	off	on	off
Enhancer_chr10_14930159_14932159	HSPA14	on	off	off	off	off	off	off	off
Enhancer_chr11_122926543_122928543	HSPA8	off	off	on	off	off	off	on	off
Enhancer_chr11_122927043_122929043	HSPA8	off	on	on	off	off	off	on	off
Enhancer_chr11_122927543_122929543	HSPA8	on	on	on	off	off	off	on	off
Enhancer_chr11_122928043_122930043	HSPA8	on	on	on	off	off	off	on	off
Enhancer_chr11_122928543_122930543	HSPA8	on	on	on	on	off	on	on	off
Enhancer_chr11_122929043_122931043	HSPA8	on	on	on	on	off	on	on	on
Enhancer_chr11_122929543_122931543	HSPA8	on	on	on	on	off	on	on	on
Enhancer_chr11_122930043_122932043	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122930543_122932543	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122931043_122933043	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122931543_122933543	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122932043_122934043	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122932543_122934543	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122933043_122935043	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122933543_122935543	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122934043_122936043	HSPA8	on	on	on	on	on	on	on	on
Enhancer_chr11_122934543_122936543	HSPA8	on	on	on	on	on	on	on	off
Enhancer_chr11_122935043_122937043	HSPA8	on	on	on	off	off	on	on	off
Enhancer_chr11_122935543_122937543	HSPA8	off	on	off	off	off	on	on	off
Enhancer_chr11_122936043_122938043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122937543_122939543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122938043_122940043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122938543_122940543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122939043_122941043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122939543_122941543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122940043_122942043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122940543_122942543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122941043_122943043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122941543_122943543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122942043_122944043	HSPA8	on	on	off	off	off	off	off	off
Enhancer_chr11_122942543_122944543	HSPA8	on	off	off	off	off	off	off	off
Enhancer_chr11_122943043_122945043	HSPA8	on	off	on	off	off	off	off	off
Enhancer_chr11_122943543_122945543	HSPA8	on	off	off	off	off	off	off	off
Enhancer_chr11_122944043_122946043	HSPA8	on	off	off	off	off	off	off	off
Enhancer_chr11_122957043_122959043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122957543_122959543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122958043_122960043	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr11_122958543_122960543	HSPA8	off	on	off	off	off	off	off	off
Enhancer_chr12_104270112_104272112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104270612_104272612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104271112_104273112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104271612_104273612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104272112_104274112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104272612_104274612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104273112_104275112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104273612_104275612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104274112_104276112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104274612_104276612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104275112_104277112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104275612_104277612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104276112_104278112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104276612_104278612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104298612_104300612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104299112_104301112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104299612_104301612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104300112_104302112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104316112_104318112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104316612_104318612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104317112_104319112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104317612_104319612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104318112_104320112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104318612_104320612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104319112_104321112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104319612_104321612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104320112_104322112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104320612_104322612	HSP90B1	on	on	off	off	off	on	on	off
Enhancer_chr12_104321112_104323112	HSP90B1	on	on	on	off	off	on	on	off
Enhancer_chr12_104321612_104323612	HSP90B1	on	on	on	off	off	on	on	on
Enhancer_chr12_104322112_104324112	HSP90B1	on	on	on	off	off	on	on	on
Enhancer_chr12_104322612_104324612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104323112_104325112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104323612_104325612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104324112_104326112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104324612_104326612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104325112_104327112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104325612_104327612	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104326112_104328112	HSP90B1	on	on	on	on	off	on	on	off
Enhancer_chr12_104326612_104328612	HSP90B1	on	on	on	on	off	on	on	off
Enhancer_chr12_104327112_104329112	HSP90B1	off	on	off	off	off	on	off	off
Enhancer_chr12_104327612_104329612	HSP90B1	off	on	off	off	off	on	off	off
Enhancer_chr12_104328112_104330112	HSP90B1	off	on	off	off	off	on	off	off
Enhancer_chr12_104328612_104330612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104329112_104331112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104329612_104331612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104347612_104349612	HSP90B1	on	off	off	on	off	on	on	off
Enhancer_chr12_104348112_104350112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104348612_104350612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104349112_104351112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104349612_104351612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104350112_104352112	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104350612_104352612	HSP90B1	on	on	on	on	on	on	on	on
Enhancer_chr12_104351112_104353112	HSP90B1	on	off	on	on	on	on	on	on
Enhancer_chr12_104351612_104353612	HSP90B1	on	off	on	on	on	on	on	off
Enhancer_chr12_104356112_104358112	HSP90B1	on	on	off	off	off	off	off	off
Enhancer_chr12_104356612_104358612	HSP90B1	on	on	on	on	off	on	on	off
Enhancer_chr12_104357112_104359112	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104357612_104359612	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104358112_104360112	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104358612_104360612	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104359112_104361112	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104359612_104361612	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104360112_104362112	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104360612_104362612	HSP90B1	on	on	on	on	off	on	on	on
Enhancer_chr12_104361112_104363112	HSP90B1	on	on	on	on	off	on	on	off
Enhancer_chr12_104361612_104363612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104362112_104364112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104362612_104364612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104363112_104365112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104363612_104365612	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_104364112_104366112	HSP90B1	off	on	off	off	off	off	off	off
Enhancer_chr12_53757639_53759639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53758139_53760139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53758639_53760639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53759139_53761139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53759639_53761639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53762139_53764139	AMHR2	off	on	on	off	off	on	on	on
Enhancer_chr12_53762639_53764639	AMHR2	off	on	on	off	off	on	on	on
Enhancer_chr12_53763139_53765139	AMHR2	on	on	on	off	off	on	on	on
Enhancer_chr12_53763639_53765639	AMHR2	on	on	on	off	on	on	on	on
Enhancer_chr12_53764139_53766139	AMHR2	on	on	on	off	on	on	on	on
Enhancer_chr12_53764639_53766639	AMHR2	on	on	on	off	on	on	on	on
Enhancer_chr12_53765139_53767139	AMHR2	on	on	on	off	on	on	on	on
Enhancer_chr12_53765639_53767639	AMHR2	off	on	on	off	on	on	on	on
Enhancer_chr12_53766139_53768139	AMHR2	off	on	on	off	off	on	on	off
Enhancer_chr12_53766639_53768639	AMHR2	off	off	on	off	off	on	on	off
Enhancer_chr12_53767139_53769139	AMHR2	off	off	off	off	off	off	on	off
Enhancer_chr12_53767639_53769639	AMHR2	off	off	off	off	off	off	on	off
Enhancer_chr12_53768139_53770139	AMHR2	off	off	off	off	off	off	on	off
Enhancer_chr12_53770139_53772139	AMHR2	off	off	on	off	off	off	off	off
Enhancer_chr12_53770639_53772639	AMHR2	on	on	on	off	off	on	on	off
Enhancer_chr12_53771139_53773139	AMHR2	on	on	on	off	off	on	on	on
Enhancer_chr12_53771639_53773639	AMHR2	on	on	on	off	off	on	on	on
Enhancer_chr12_53772139_53774139	AMHR2	on	on	on	off	off	on	on	on
Enhancer_chr12_53772639_53774639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53773139_53775139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53773639_53775639	AMHR2	off	on	on	on	off	on	on	on
Enhancer_chr12_53774139_53776139	AMHR2	on	on	on	on	off	on	on	off
Enhancer_chr12_53774639_53776639	AMHR2	on	on	on	on	off	on	on	off
Enhancer_chr12_53775139_53777139	AMHR2	on	on	on	on	off	on	on	off
Enhancer_chr12_53775639_53777639	AMHR2	on	on	on	on	off	on	on	off
Enhancer_chr12_53776139_53778139	AMHR2	off	on	on	on	off	on	on	off
Enhancer_chr12_53776639_53778639	AMHR2	off	on	on	on	off	on	on	off
Enhancer_chr12_53777139_53779139	AMHR2	off	on	off	off	off	on	on	off
Enhancer_chr12_53777639_53779639	AMHR2	off	on	off	off	off	off	on	off
Enhancer_chr12_53778139_53780139	AMHR2	off	on	off	off	off	off	on	off
Enhancer_chr12_53778639_53780639	AMHR2	off	on	off	off	off	on	on	off
Enhancer_chr12_53779139_53781139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53779639_53781639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53780139_53782139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53780639_53782639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53781639_53783639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53782139_53784139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53782639_53784639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53783139_53785139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53783639_53785639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53806139_53808139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53806639_53808639	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53811139_53813139	AMHR2	off	on	off	off	off	off	off	off
Enhancer_chr12_53812639_53814639	AMHR2	off	off	off	off	off	off	on	off
Enhancer_chr12_53813139_53815139	AMHR2	on	on	off	off	off	off	on	off
Enhancer_chr12_53813639_53815639	AMHR2	on	on	off	off	off	off	on	off
Enhancer_chr12_53814139_53816139	AMHR2	on	off	off	off	off	off	on	off
Enhancer_chr12_53814639_53816639	AMHR2	on	off	off	off	off	off	on	off
Enhancer_chr12_53815139_53817139	AMHR2	on	off	on	off	off	off	on	off
Enhancer_chr12_53816139_53818139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53816639_53818639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53817139_53819139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53817639_53819639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53818139_53820139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53818639_53820639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53819139_53821139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53819639_53821639	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53820139_53822139	AMHR2	on	off	off	off	off	off	off	off
Enhancer_chr12_53832639_53834639	AMHR2	off	off	on	off	off	on	on	off
Enhancer_chr12_53833139_53835139	AMHR2	off	on	on	on	off	on	on	on
Enhancer_chr12_53833639_53835639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53834139_53836139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53834639_53836639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53835139_53837139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53835639_53837639	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53836139_53838139	AMHR2	on	on	on	on	off	on	on	on
Enhancer_chr12_53836639_53838639	AMHR2	on	on	on	off	off	on	on	off
Enhancer_chr12_53837139_53839139	AMHR2	on	on	on	off	off	off	on	off
